fishing boats,colors of,the rainbow
ash wednesday--,trying to remember ,my dream
snowy morn--,pouring another cup,of black coffee
shortest day,flames dance,in the oven
haze,half the horse hidden,behind the house
low sun,the lady in red,on high heels
advent,the passing stranger,farts
tarn,a bubble in,the ice
snowflakes,new asphalt,in the holes
Crystal Night',   gusts of rain,      outside
rain,the sound of a horse galloping,through leaves
winter stars,suddenly a whiff,of perfume
hungry,half of the moon,hidden
rain,another leaf,down
sharia,the sound of one hand,clapping
the sound of geese,drowned by the sound of the train,this morning
autumn sun,my shadow over,tombstones
fly fishing;,the sound of the wind,in the reel
december,a long shadow,joins another
end of path,snowflakes melting,on the pond
morning frost,she leaves,first
evening walk,smell of tar between,pines
dachau,a blue sky above,the chimneys
Deep autumn;,The apple colder,In the tree.
visiting the graves,stronger the October wind,at my grandparents'
over the hedge,a dragonfly,east
a bubble,bursts on surface,full moon
rain,the white lilac,low
my hand,    on her hip,         full moon
three petals fall,from the purple coneflower...,almost summer
instant message--,moon reveals more,of herself each night
Out of the well,By the bucket ,I hunt A moon
nude beach,a stranger covers me,with his shadow
garden wedding --,under the cherry blossoms,the bride's blush deepens
rainy New York,from the tenth storey window,black umbrellas bloom
drunk on the beach-,the moon in my sake cup,disappears
faintly purple,against the moon -,pines in the light
the last light of day ~,purple rhododendrons,dissolve in the dark
wisteria -,blooming before,the end of rain
through lace ~,the tracery of frost,on glass
rain,falls from the trees,on the blue iris
winter beach -,three grey lines,"of sand, sea and sky"
winter -,white peonies,in falling snow
long illness –,pink dogwood blooming,without me
lunch al fresco,leaving out a chair,for the sun 
the attention,his dog gets -,homeless man
remembering a song,from my childhood,plum blossoms
father’s pills,the palette of,autumn leaves
end of summer,our memories,in zip files
waking up,with freckles & curls,summer break
long night,on my window—a spider,climbing the moon
train window,the fingerprints,from past journeys
old love letter,the crinkled edges,of poppy petals
his scent gone,from every room,winter jasmine
overnight snow,his side of the bed,untouched
forest trail,running to the end,of my thoughts
learning to eat,around bruises,winter apples
winter night ,extending my word ,on scrabble
thumbing through,an old rolodex,winter light
dandelion field,my voice dissipates,in the wind
trailing behind,the other hikers,taste of dust
summer break,the sun scatters,my freckles
summer’s end,in a jar of shells,the smell of salt air
early morning dew,squeezing the last drop,from my teabag
spring fever,tree roots cracking,the concrete
tourist season,the zen garden,fills up with noise
unknotting,the phone cord,mother’s day
glowing embers,I start my story,from the end
office window,comings and goings,of butterflies
beach stroll,dipping our feet,in the stars
all day rain,lowering the blinds,in her dollhouse
late night stroll,through parted curtains,lives of others
dusting off,the piano keys,autumn wind
autumn rain,puddles fill up,with moonlight
mountain cave --,from out of darkness,the morning light
after its first flight,the young gerfalcon's talons,tighter on my glove
winter roses,I am tired of reading,between the lines
storm--,the monologue,of every tree
candle snuffer--,our eyes adjust,to the smoke wisp
the patter and hiss ,of gentle raining,--cloudlight 
lull--,reading into the braille ,of your goose bumps
afternoon malaise--,slant light ,at the oranges bowl
first day of school--,the house fills with the space ,between second hand ticks
downpour--,the dead animal smell,shifts toward memory
dusk--,the last whistle of something,as I turn on a reading light
airport window--,the cloud of my breath,as your plane reaches the clouds
midnight moon--,afraid,to turn another page
in the no-name vine,bluebirds,at the red berries
fresh snow--,the new neighbors,with all the porch lights on
night shift--,a quick break,to look at the stars...
freeze warning--,light from the arc welder,brightens the night
freeze warning--,the need to pee,once we hit traffic
freeze warning--,just enough change,for coffee
freeze warning---,from the end of the bar,she looks back
freeze warning--,a couple of homeless guys,feeding seagulls
dust--,distant thunder,moves on
porn shop--,each cock,stares at her
scrabble dictionary--,lighting one candle,from another
rusting nail--,the coffinmaker,talks of price
labor day-,i dust of,my resume
that fart,prayer fans,all sermon long
thaw--,a winter moth struggles,against a spider thread
skylight-,a contrail crosses,her line of coke
antique store-,the ocean loud,in a seashell
dusk--,songbirds' voices,disappear too
indian summer-,rouging her cheeks,as she waits for a drink
evening service --,light beams,into the night
food channel --,"between commercials,",dinner burns
autumn,along the highway,buzzards wait
evening shadows…,the things we deny,become more visible
rain puddle . . .,a refugee child stirs,the cold moon
wildflowers,in each clay pot,abandoned family garden
cold winter —,another patch,in the old blanket
withered peony,her love story,after menopause
women’s day —,nothing has changed,except her Facebook status
climatic change —,under heavy snow,the refugee camp
jury duty,the clock pendulum goes,back and forth
summer breeze--,someone practices drums,in the valley
